key,title,phones,address,latitude,longitude
1,2 Квартал,+77272486900,"Алматы, ул. Толе би, д 286/5",43.24751745,76.86866092574239
2,A - pharma,+77075846366,"Алматы, ул.Жангир хана, 103",43.188764299999995,76.9232083
3,AGS Фарм (ЭйДжиЭс),+77273152205,"Алматы, ул. Навои, д 7Б",43.217699,76.88036155055325
4,AGS Фарм (ЭйДжиЭс),+77272609848,"Алматы, мкрн Керемет, д. 3 кв. 2",,
5,Aidim Zhan (Айдим Жан),+77273989018,"Алматы, мкрн. Думан 2, д. 15",,
6,Aidim Zhan (Айдим Жан),+77273847506,"Алматы, мкрн. Кулагер, д. 33",,
7,Al-madat (Аль-Мадат),+77272715632,"Алматы, ул. Маркова, д 38",43.22924329999999,76.9315212
8,AlMed (АльМед),+77273823903,"Алматы, ул. Гоголя, д 35",43.26057279999999,76.95385279999999
9,Asian Medical Depo (Азиан Медикал Депо),+77273131523,"Алматы, пр. Сейфуллина, д 549",,
10,Assuta Medical Kazakhstan (Асюта Медикал Казахстан),+77272251111,"Алматы, ул. Маркова д 22/37",43.22924329999999,76.9315212
11,Bavi (Бави),+77273920309,"Алматы, ул. Розыбакиева, д 156",43.2018776,76.894244
12,Chinil Pharma (Чинил Фарма),+77273014991,"Алматы, ул. Толе би, д 284",43.2566146,76.9813071
13,Dari103.kz,+77007444103,"Алматы, ул. Мұстай Кәрім, 12/16",,
14,Doganer (Доганер),+77272976918,"Алматы, ул. Ленина, д 83а",43.29961470000001,76.96786879999999
15,ECOBAR.kz,+77019336388,"Алматы, Доставка по городу",,
16,Europharma № 108 пт,+77014937548,"Алматы, пр.Достык, 248А",,
17,Europharma № 124,+77016042217,"Алматы, ул. Жамбыла, 205",43.2449175,76.89775909999999
18,Europharma № 159,+77016043046,"Алматы, пр.Розыбакиева, 220",,
19,Europharma № 160,+77077922920,"Алматы, пр. Достык, 49/76",,
20,Europharma № 175,+77016042087,"Алматы, ул. Аксуат, 128",,
21,Europharma № 204,+77016043058,"Алматы, ул. Мартебе, 1а",43.194668,76.9006607
22,Europharma № 260,+77016042490,"Алматы, пр. Алтынсарина, 26",,
23,Europharma № 263,+77016041914,"Алматы, ул. Жандосова, 162а",43.2118467,76.86943032475493
24,Europharma № 27,+77014937548,"Алматы, ул. Тимирязева, 38/1",43.225471399999996,76.89997790000001
25,Europharma № 34ПТ,+77016042993,"Алматы, мкрн. Айнабулак-3, 38А",,
26,Europharma № 40,+77016041912,"Алматы, ул. Гагарина, 296 ",43.214341499999996,76.8318478
27,Europharma № 49 ПТ,+77014937539,"Алматы, ул. Байкена Ашимова, 2",,
28,Europharma № 57,+77017937564,"Алматы, ул. Демьяна Бедного, 3",43.3660475,76.85529100000001
29,Europharma № 58,+77014937542,"Алматы, ул. Хан Шатыр, 273",43.24966259999999,76.82332996387534
30,Europharma № 85,+77016042298,"Алматы, мкрн. Астана, 1/10",,
31,Europharma № 94,+77016042355,"Алматы, ул.Масанчи, 23В",43.2520198,76.9294282
32,Europharma №132,+77016042433,"Алматы, ул. Майлина, 2",43.346238,77.0123734
33,Farm Expres (Фарм Экспрес),+77272797472,"Алматы, ул. Гоголя, 155",43.258825099999996,76.92402145
34,Forte Pharma,+77273937090,"Алматы, пр. Райымбек батыра, 162",,
35,Forte Pharma,+77273948425,"Алматы, ул.Байзакова, 307",43.22922730000001,76.91508482382733
36,Forte Pharma,+77273868900,"Алматы, ул. Луганского, 1 ",43.2409105,76.9604479
37,Grand Asia Import (Гранд Азия Импорт),+77272606644,"Алматы, ул. Масанчи, д 79Б",43.2520198,76.9294282
38,Greenovea (Гриновиа),+77273280102,"Алматы, ул. Кабанбай батыра, д 154",43.2510845,76.96445250000001
39,Greenovea (Гриновиа),+77273280102,"Алматы, ул. Чайковского, д 22а",43.26867685,76.93658190000001
40,Heal in home (Хеал ин хоум),+77272269179,"Алматы, мкрн 2, д. 55Б",,
41,Health Kz,+77001590978,"Алматы, пр. Сейфуллина, 183А",,
42,IF-Pharm (ИФ-Фарм),+77272461242,"Алматы, ул. Си Синхая, 18",,
43,INKARIM (ИНКАРИМ),+77273909300,"Алматы, пр. Назарбаева, д 187",,
44,Inter Хайер (Интер Хайер),+77272438849,"Алматы, ул. Бичурина, д 1/2",,
45,Kona Group (Кона Груп),+77273976648,"Алматы, ул. Жангельдина, д 31/1",43.2704854,76.9588876
46,L-Group ТОО (Л-Груп),+77273943962,"Алматы, ул. Розыбакиева, д 92",43.2018776,76.894244
47,L-Фарма (Л-Фарма),+77273748874,"Алматы, мкрн Тастак 1, д. 3",,
48,Добрая аптека №99,+77273939939,"Алматы, ул Рихарда Зорге, д. 5",43.3357818,76.9527819
49,La profi farm (Ла профи фарм),+77273021824,"Алматы, ул. Кожабекова, д 21",43.200403,76.8942843
50,LACERTA (ЛАЦЕРТА),+77272301566,"Алматы, ул. Саина, д 22",43.2008895,76.8687084
51,LACERTA (ЛАЦЕРТА),+77272797072,"Алматы, пр. Сейфуллина, д 420",,
52,LACERTA (ЛАЦЕРТА),+77273038878,"Алматы, мкрн. 8, д 81",,
53,Lika Pharm (Лика Фарм),+77273378127,"Алматы, ул. Каблукова, д 6",,
54,Lika Pharm (Лика Фарм),+77272272805,"Алматы, пр. Райымбека, д 507А",43.2335367,76.7987186
55,Limpopo (Лимпопо),+77272675314,"Алматы, пр. Абая, д 34",,
56,LS Clinic (ЛС Клиник),+77273375830,"Алматы, Бульвар Бухар Жырау, д 27/5В",,
57,MedFarm SLL (МедФарм СЛЛ),+77273964819,"Алматы, ул. Розыбакиева, д 153а",43.2206576,76.8917261
58,Medical Assistance Group (Медикал Ассистанс Груп),+77272599790,"Алматы, ул. Ришата и Муслима Абдуллиных, д 6",,
59,Medical Assistance Group (Медикал Ассистанс Груп),+77272584834,"Алматы, ул. Тимирязева, д 21",43.2266499,76.9167764
60,MedMart (МедМарт),+77272690222,"Алматы, мкрн. Калкаман-2 ул. Ауэзова, д 20",,
61,Melissa (Мелисса),+77273092501,"Алматы, ул. Жандосова, д 162А",43.211447,76.8695255
62,Melissa (Мелисса),+77272344261,"Алматы, ул. Халиуллина, д 34",43.2852881,76.989365
63,Melissa (Мелисса),+77273746939,"Алматы, ул. Туркебаева, д 92",43.2299679,76.88229
64,Melissa (Мелисса),+77272273256,"Алматы, пр. Райымбека, д 239Г",43.2335367,76.7987186
65,Melissa (Мелисса),+77273090723,"Алматы, мкрн. Таугуль 1, д № 49",,
66,Melissa (Мелисса),+77273732472,"Алматы, мкрн Аксай 4, д. 20Б",,
67,Melissa (Мелисса),+77272799518,"Алматы, ул. Сейфуллина, д 468",43.2587598,76.79689029999999
68,MS Help (МС Хелп),+77273824602,"Алматы, ул. Бузурбаева, д 23",43.2631915,76.9647363
69,MS Help (МС Хелп),+77273322746,"Алматы, мкрн Самал 3, д. 1",,
70,MS Help (МС Хелп),+77272720932,"Алматы, ул. Карасай батыра, д 30",43.2517815,76.9507504
71,MS Help (МС Хелп),+77273815463,"Алматы, мкрн Мамыр 1, д. 8А",,
72,MS Help (МС Хелп),+77273269427,"Алматы, АЗТМ (Акбулак), д 273",,
73,MS Help (МС Хелп),+77272322545,"Алматы, ул. Розыбакиева, д 247а",43.20407265,76.89272333975552
74,Open Clinic (Оупен Клиник),+77273410705,"Алматы, мкрн Самал 2, д. 95\4",,
75,Orai ТОО (Орай),+77272609901,"Алматы, мкрн Керемет, д. 7\42",,
76,Pharm Express (Фарм Экспресс),+77025799191,"Алматы, мкрн Айнабулак 3, д. 98Б",,
77,Pharmpoint,+77273173322,"Алматы, ул.Аскарова, 21",43.1802865,76.86973628456417
78,Pinnacle of P ТОО (Пиннакл оф Пи),+77272943279,"Алматы, пр. Сейфуллина, д 107",,
79,Radix pharmacy (Радикс фармаси),+77273099922,"Алматы, мкрн. Ак-кент, д.6",,
80,Remar Company ТОО (Ремар Компани),+77273842047,"Алматы, ул. Серикова, д 23",43.29843220000001,76.9083925
81,Roer ТОО (Роер),+77272526874,"Алматы, мкрн Айнабулак 3, д. 159",,
82,Ruaz-Dent (Руаз-Дент),+77273783669,"Алматы, ул. Муканова, д 168",43.2405021,76.9155312
83,Salus+,+77273745449,"Алматы, ул. Дуйсенова, 100",43.25286385,76.87673774923883
84,Say bol,"+77009913980,+77022377703","Алматы, ул. Наурызбай батыра, 7Б",43.26925285,76.93406250000002
85,Simpos (Симпос),+77272723916,"Алматы, ул. Толе би, д 72",43.2566146,76.9813071
86,Simpos (Симпос),+77272911370,"Алматы, пр. Достык, д 19",,
87,Smart Аптека,+77273390302,"Алматы, ул. Байзакова, 280",43.23709415,76.91525886677636
88,Smart Аптека,+77273390303,"Алматы, ул. Жангир Хан, 1",,
89,Smile Dent (Смайл Дент),+77272947720,"Алматы, мкрн Айнабулак 3, д 129",,
90,Sofi Farm (Софи Фарм),+77273861792,"Алматы, ул. Монтажная, 27",43.33499120000001,76.9821559843615
91,Union Pro Management (Юнион Про Менеджмент),+77272930510,"Алматы, ул. Кабанбай батыра, д 137",43.2510845,76.96445250000001
92,А7,+77273938639,"Алматы, ул. Утемисова, д 143",,
93,Абдикаримова ИП,+77272608440,"Алматы, Маркова, д 42",43.22924329999999,76.9315212
94,Абдраимова ИП,+77273938041,"Алматы, ул. Сатпаева, д 63а",43.2352447,76.89581590000002
95,Абдраимова ИП,+77272750473,"Алматы, ул. Тимирязева, д 79",43.2266499,76.9167764
96,Абрал,+77273947181,"Алматы, ул. Майлина, д 226",43.3302641,76.977591
97,Абрал,+77273868169,"Алматы, пр. Аль-Фараби, д 19",,
98,Адибаева ИП,+77013620748,"Алматы, Жансугурова, д 589",45.4105841,79.89220920000001
99,Адибаева ИП,+77272943839,"Алматы, пр Сейфуллина, д 166",,
100,Адильшаихова ИП,+77273753500,"Алматы, Кабанбай батыра, д 260",45.01997120000001,78.3834305
101,Аза,+77273796082,"Алматы, ул. Толеби, д 159",46.1651083,80.9393058
102,Аза,+77272992780,"Алматы, мкрн Казахфильм , д 19",,
103,Аза,"+77273751318,+77273750656","Алматы, ул. Ауэзова, д 64",43.237449,76.9042682
104,Аза,+77273992802,"Алматы, ул. Шухова, д 37Б",43.27278795,76.98090607017689
105,Азиз Фарм,+77272497595,"Алматы, мкрн 7, д 3а",,
106,Аимбетова ИП,+77272998383,"Алматы, Жанкожа Батыра(Шанырак2),3 д 1",,
107,Ай,+77273975731,"Алматы, пр. Жибек Жолы, д 37",,
108,Ай-Фарма,+77273092827,"Алматы, ул. Жандосова, 59Б",43.2138948,76.868027
109,Айдарбекова ИП,+77272384134,"Алматы, мкрн. Аксай  4, д 59",,
110,Айдарбекова ИП,+77272555320,"Алматы, мкрн Мамыр 2, д 18-19",,
111,Аймифарм ИП,+77021018661,"Алматы, Тауелсиздиктин 10жылдыгы, д 1",,
112,Айнабекова ИП,+77273806654,"Алматы, мкрн Кокжиек, д 2",,
113,Айтжанова ИП,+77273932576,"Алматы, Утемисова, д 67",47.097046500000005,51.9254792
114,Ак-кайын,+77273791109,"Алматы, ул. Толе би, д 192",43.2566146,76.9813071
115,Ак-кайын,+77273794491,"Алматы, ул. Розыбакиева, д 74",43.2018776,76.894244
116,Ак-шат,+77273890901,"Алматы, Абая, д 13а",43.213467200000004,76.8242041
117,Акбулак Фарма,+77478438155,"Алматы, ул.Касыма Шарипова, 62",,
118,Акжол Pharm,+77272220107,"Алматы, ул. Акан Серы, 17",43.3291777,76.95080213871285
119,Актлеуов ИП,+77272945221,"Алматы, пр Сейфуллина, д 168",,
120,Алатау,+77272390372,"Алматы, ул. Казыгурт, д 35",43.2788785,77.0023528
121,Алиар-Фарм,+77272799447,"Алматы, ул. Гоголя, д 92",43.26057279999999,76.95385279999999
122,Алибекова ИП,+77273749900,"Алматы, мкрн. 12, д.19",,
123,Алимова ИП,+77272948996,"Алматы, мкрн. Айнабулак 4, д 178",,
124,АлиСФарм,+77272467094,"Алматы, мкрн. Аккент, д 40",,
125,Алияр,+77273797788,"Алматы, ул. Казыбек Би, д 177",43.2576685,76.9617823
126,Алияр Фарм,+77273020831,"Алматы, пр Аль-Фараби, д 77",,
127,Алмасат,+77273035353,"Алматы, мкрн Жетысу 1, д 52",,
128,Алматы Фарма,+77779788728,"Алматы, мкрн.Калкаман, ул. Молдабекова, 11",,
129,Алматы Фарма,+77273603592,"Алматы, мкрн. Акжар, ул.Желди, 1",,
130,Алтын-Ай ИП,+77273985331,"Алматы, Айбергенова, д 155а",,
131,Алтынай плюс,+77273378385,"Алматы, ул. Басенова, 27",43.22204779999999,76.8950953
132,Алуафарм,+77272239365,"Алматы, мкрн. Алгабас 6, д 1/32",,
133,Алькон Трейд Фарм,+77273748210,"Алматы, Аносова, д 91",43.2488568,76.8853918
134,Аманбаева ИП,+77021841270,"Алматы, пос. Акжар ",,
135,Амрита,+77272539635,"Алматы, Гончарова, д 8",43.2681282,76.8930088
136,АнкариК,+77272333543,"Алматы, пр. Райымбек, д 211",,
137,Аптека,+77273603592,"Алматы, ул. Желди, 1",,
138,Аптека,+77081285141,"Алматы, пр.Абылай Хана, 24",,
139,Аптека,+77758207440,"Алматы, мкрн. Аксай 4, 39",,
140,Аптека,+77272754775,"Алматы, ул. Тимирязева,107",43.2251973,76.89299476775044
141,Аптека,+77273782887,"Алматы, ул. Жумалиева, 80/167",,
142,Аптека,+77273726106,"Алматы, ул. Болысбаева, 68/1",43.468196299999995,76.96359720000001
143,Аптека,"+77772502000,+77073230677,+77070011957","Алматы, ул.Жанкожа батыра, 67а",43.2891269,76.85035285000002
144,Аптека,+77084742070,"Алматы, ул. Казыбек би,139",43.254957,76.9189958
145,Аптека  ИП Клочкова О.Б.,+77273837178,"Алматы, ул. Муратбаева, д 125",43.2530303,76.918719
146,Аптека EUROPHARMA,+77272630000,"Алматы, мкр Самал-2, бульвар Мендикулова, д. 36",,
147,Аптека EUROPHARMA в Акбулаке,+77014937542,"Алматы, мкр. Акбулак, ул. Хан Шатыр, д. 273",,
148,Аптека EUROPHARMA в Думане,+77016041897,"Алматы, мкр. Думан, ул. Халиуллина, д. 194",,
149,Аптека EUROPHARMA на Гагарина,+77016041912,"Алматы, пр. Гагарина, д. 139",,
150,Аптека EUROPHARMA на Демьяна Бедного,+77014937564,"Алматы, ул. Демьяна Бедного, д. 3",43.3660475,76.85529100000001
151,Аптека EUROPHARMA на Жамбыла,+77016042217,"Алматы, ул. Жамбыла, д. 205 (Small)",,
152,Аптека EUROPHARMA на Жандосова,+77016041914,"Алматы, ул. Жандосова, д. 162 а, н.п. 133",,
153,Аптека EUROPHARMA на Майлина,+77016042433,"Алматы, ул. Б.Майлина, д. 2",,
154,Аптека EUROPHARMA на Назарбаева,+77016042306,"Алматы, пр. Назарбаева, д. 76",,
155,Аптека EUROPHARMA на пр. Достык,+77014937548,"Алматы, пр. Достык, д. 248А",,
156,Аптека EUROPHARMA на Родостовца,+77014937583,"Алматы, ул. Радостовца, д. 292",43.2269623,76.8941329
157,Аптека M and B,+77273038291,"Алматы, мкрн.9, д.24",,
158,Аптека PHARMSTORE в мкр 8,+77077201888,"Алматы, мкр 8, д. 8",,
159,Аптека 24 часа,"+77272730014,+77074043058","Алматы, ул. Макатаева, 81",43.264138,76.942123
160,Аптека 24/7,+77273178901,"Алматы, мкрн. Аксай 3Б, д. 32 ",,
161,Аптека 555,+77272705782,"Алматы, пр. Абылай Хана, д 27",,
162,Аптека LUCKY (Лакки),+77273924286,"Алматы, ул. Сатпаева, д 109",43.237488299999995,76.9327603
163,Аптека Vale-Angel (Вэйл-Энджел),+77272799550,"Алматы, ул. Наурызбай батыра, 68",43.256950200000006,76.9361963
164,Аптека А+,+77273791638,"Алматы, пр. Гагарина, 10",,
165,Аптека А+,+77272969820,"Алматы, пр. Достык, 220",,
166,Аптека А+,+77272555660,"Алматы, мкрн. Мамыр - 1, д. 3",,
167,Аптека А+,+77273291528,"Алматы, ул. Манаса, 65",43.232757,76.9092268
168,Аптека А+ отдел РПО,+77273959485,"Алматы, пр. Гагарина, 10",,
169,Аптека Новая,+77272422000,"Алматы, мкрн. Орбита 2, дом 6",,
170,Аптека Оптовые цены,"+77272720266,+77272728132","Алматы, ул. Сейфуллина, д 534",43.2587598,76.79689029999999
171,Аптека Оптовые цены,+77272698140,"Алматы, ул. Богенбай батыра, 266",43.2536314,76.95261640000001
172,АПТЕКА ПЛЮС,"+77272740707,+77272754545","Алматы, ул. Ауэзова, д 175",43.237449,76.9042682
173,Аптека № 19,+77272761262,"Алматы, мкрн. 2, д. 52",,
174,Аптека № 19,+77272761262,"Алматы, 2 мкрн. д. 52",,
175,Аптека №16,+77273156615,"Алматы, Асыл Арман, д 7",43.23120040000001,76.75137313418739
176,Аптека №19,+77272761262,"Алматы, мкрн 2, д 52",,
177,АПТЕКА-DA'RIHANA,"+77771259955,+77017580297","Алматы, ул. Попова, 22",43.22594535,76.93399149999998
178,Аптека№41,+77273090254,"Алматы, Пятницкого, д 52",43.2090148,76.8696252
179,Аптека№7,+77272779707,"Алматы, ул. Курмангазы, д 144",43.245102200000005,76.9532258
180,Аптека№8,+77272601966,"Алматы, Бульвар Мендикулова, д 98",43.231136,76.95358259999999
181,Аптека№84,+77273900515,"Алматы, ул. Толе би, д 249",43.2566146,76.9813071
182,Аптечный склад,+77272690222,"Алматы, мкрн 4 Мамыр, д 197",,
183,Аптечный склад,+77272690222,"Алматы, Ауэзова (Калкаман2), д 20",,
184,Арай ИП,+77273035550,"Алматы, мкрн 11, д 3а",,
185,АрайФарм,+77273822755,"Алматы, ул. Макатаева, д 12",43.2652782,76.9645783
186,Ару,+77272517054,"Алматы, пр. Гагарина,д 12а",,
187,АС,+77273793067,"Алматы, Радостовца,д 13",43.2269623,76.8941329
188,АСДари,+77273739301,"Алматы, Брусиловского,д 40а",,
189,АсДиФарм,+77475426504,"Алматы, Суюнбая, д 55",43.2708545,76.9509728
190,Аскарова ИП,+77273741380,"Алматы, Тургут Озала, д 67",,
191,Аскерова ИП,+77272236079,"Алматы, пр Суюнбая , д 263/1",,
192,Аслан,+77272263930,"Алматы, Ауэзова (Калкаман2), д 162",,
193,Асланова ИП,+77272348677,"Алматы, Победы, д 7",43.358785,77.1472186
194,Асмед,+77273512504,"Алматы, мкрн. Мамыр - 1, д.29/6",,
195,АспанФарм,+77273853372,"Алматы, Алты-Алаш, д 1а",,
196,АспанФарм,+77273869686,"Алматы, Кабдолова, д 2",43.2359486,76.84860340000002
197,АсылТау,+77273236798,"Алматы, Егизбаева, д 7аблок 1",,
198,Аудан-Дари,+77272643319,"Алматы, мкрн 1 Самал, д 1",,
199,Аупбаева ИП,+77273927995,"Алматы, ул. Розыбакиева, 75",43.23559485,76.88958569806283
200,Ахтинова ИП,"+77778174572,+77773529238","Алматы, Мустафина, д 90",43.2005753,76.6645235
201,Аширбаева ИП,+77277134699,"Алматы, Суюнбая, д 80",43.2708545,76.9509728
202,Аэросервис,+77272513410,"Алматы, ул. Наманганская, 51",43.34131885,76.98302438543006
203,Аян ИП,+77018302320,"Алматы, Жана арна,д 1Б",,
204,Аян ИП,+77273855697,"Алматы, мкрн Шугыла, д 3",,
205,Баекенова Ип,+77273383421,"Алматы, Огарёва, д 9",43.342939,77.00740090000001
206,Баимбетова ИП,+77273038878,"Алматы, мкрн. 8, д.81",,
207,Баимбетова ИП,+77272797072,"Алматы, ул. Сейфуллина, 440 ",43.2587598,76.79689029999999
208,Баимбетова ИП,+77272301566,"Алматы, ул. Саина, 22",43.215712100000005,76.8559219
209,Байгожанова ИП,+77273733852,"Алматы, мкрн. Аксай 4, д 14",,
210,Байжанова ИП,+77273877291,"Алматы, Водник 2, д 1",43.3659916,76.86145859999999
211,Байзикеева ИП,+77273949341,"Алматы, мкрн Коктем 3, д 3а",,
212,Байселбекова ИП,+77272464332,"Алматы, Емцова, д 2а",43.2588255,76.8608557
213,Байт,+77273379887,"Алматы, Жарокова, д 275а",45.3900872,79.92045970000001
214,Байт,+77273150438,"Алматы, пр. Сейфуллина, д 498",,
215,Байтурсынова ИП,+77272922402,"Алматы, ул. Сатпаева, д 18В, угол Наурызбай батыра",,
216,Бану,+77272517099,"Алматы, Титова,д 45а",44.8582756,78.8135714
217,Береке,+77272517400,"Алматы, Титова, д 47",44.8582756,78.8135714
218,Бертаева ИП,+77272486727,"Алматы, пр Рыскулова, д 103/3",,
219,Бидасова ИП,+77272347767,"Алматы, Панфилова, д 52",45.410818400000004,79.8943244
220,Бижанов ИП,+77759336627,"Алматы, Райымбека, д 221а",43.3062302,77.0628494
221,Бикенова ИП,+77272771557,"Алматы, мкрн 1,д. 40",,
222,Биля,+77273879662,"Алматы, Абая, д 23/2",43.85360105,77.05764165
223,БРАНТ,+77273019673,"Алматы, Туркебаева, д 143/1",,
224,Будьте Здоровы,+77272628495,"Алматы, пр. Альфараби, 21,4 блок , офис 10-84",,
225,Булатбекова ИП,+77273542957,"Алматы, мкрн 1 Коктем д 20",,
226,Бэлла-Фарм,+77272761259,"Алматы, Жубанова, д 7",45.4083331,79.927589
227,ВалентинаPharm,+77272606846,"Алматы, Казыбек би, д 117",43.3025025,77.0390667
228,ВитаминкаПлюс,+77272328369,"Алматы, Руставели, д 3",43.2992199,76.95709140000001
229,Вольф ИП,+77272326959,"Алматы, Айнабулак мкрн 2, д 43",,
230,Гирудомед,+77273025582,"Алматы, мкрн Таугуль1, д 50",,
231,Гришина ИП,+77273961755,"Алматы, мкрн Алмагуль, д 40",,
